[2026-03-17 23:52:10] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9O98F-KSBCGV","method":"GET","path":"api/v1/outlet","status":401,"duration_ms":4061,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-17 23:52:26] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9OQBJ-51MSZR","method":"POST","path":"api/v1/auth/login","status":500,"duration_ms":1823,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-17 23:54:04] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9QU87-F2S0D0","method":"POST","path":"api/v1/auth/login","status":200,"duration_ms":1876,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-17 23:54:05] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9QW3Z-ATMWZ3","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":374,"user_id":"01kk7eyb1s78c4ez3b288wrypf","ip":"127.0.0.1"} 
[2026-03-17 23:54:06] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9QX0Y-CZ3FPM","method":"GET","path":"api/v1/categories","status":200,"duration_ms":406,"user_id":"01kk7eyb1s78c4ez3b288wrypf","ip":"127.0.0.1"} 
[2026-03-17 23:54:07] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9QX0Y-N6CXTJ","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":103,"user_id":"01kk7eyb1s78c4ez3b288wrypf","ip":"127.0.0.1"} 
[2026-03-17 23:54:07] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9QX0Y-RCZCKN","method":"GET","path":"api/v1/products","status":200,"duration_ms":216,"user_id":"01kk7eyb1s78c4ez3b288wrypf","ip":"127.0.0.1"} 
[2026-03-17 23:54:08] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9QX0Y-2V8JJ9","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":131,"user_id":"01kk7eyb1s78c4ez3b288wrypf","ip":"127.0.0.1"} 
[2026-03-17 23:54:08] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9QX0Y-9VJMCZ","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":148,"user_id":"01kk7eyb1s78c4ez3b288wrypf","ip":"127.0.0.1"} 
[2026-03-17 23:54:11] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9R117-CBVFS3","method":"POST","path":"api/v1/auth/logout","status":200,"duration_ms":100,"user_id":"01kk7eyb1s78c4ez3b288wrypf","ip":"127.0.0.1"} 
[2026-03-17 23:54:20] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9R7RE-GSH1TJ","method":"POST","path":"api/v1/auth/login","status":200,"duration_ms":797,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-17 23:54:23] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9R9VW-VMMNCH","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":154,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:54:31] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9RGKP-5X2F3F","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":139,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:54:31] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9RGKP-8AQFJD","method":"GET","path":"api/v1/dashboard/summary","status":200,"duration_ms":185,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
[2026-03-17 23:54:35] local.INFO: api_request {"request_id":"MMV9O98E-Q2VBM6-MMV9RJHK-HHJCD7","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":118,"user_id":"01kk7eyab78thx36n76c7ba6zb","ip":"127.0.0.1"} 
