[2026-03-19 07:42:26] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5WXBA-7QNEQB","method":"POST","path":"api/v1/auth/login","status":200,"duration_ms":4936,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-19 07:42:28] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5X37V-D1CB7Z","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":539,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:31] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5X4HK-F26NE6","method":"GET","path":"api/v1/categories","status":200,"duration_ms":607,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:32] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5X4HK-5X50VX","method":"GET","path":"api/v1/products","status":200,"duration_ms":715,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:32] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5X4HK-JMQMV2","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":169,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:33] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5X4HK-E48SC4","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":292,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:33] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5X4HK-FKS03Z","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":153,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:35] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5X8LP-GYRRFR","method":"GET","path":"api/v1/sales","status":200,"duration_ms":489,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:37] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5XAD6-Z9H79M","method":"GET","path":"api/v1/sales/01km23je09p2wgs2v7etedgq9d","status":200,"duration_ms":278,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:38] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5XB77-1Z8A2P","method":"GET","path":"api/v1/payment-methods/01kg6rtybz6wmm9vmva3bbfgn2","status":200,"duration_ms":94,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:42:44] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5XFN2-AJ2YJ5","method":"GET","path":"api/v1/sales","status":200,"duration_ms":130,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:43:02] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5XTL2-M4D2ET","method":"GET","path":"api/v1/reports/cashier-report/cashiers","status":200,"duration_ms":227,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:43:19] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX5Y701-AXMDCX","method":"GET","path":"api/v1/reports/cashier-report","status":200,"duration_ms":134,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
