[2026-03-20 02:30:46] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA839S-Z77P3M","method":"POST","path":"api/v1/auth/login","status":200,"duration_ms":654,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-20 02:30:48] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA84NS-WW58V2","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":235,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:30:49] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA84NT-7P3VN9","method":"GET","path":"api/v1/dashboard/summary","status":200,"duration_ms":277,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:30:52] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA87G2-3ZYJ91","method":"GET","path":"api/v1/categories","status":200,"duration_ms":203,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:00] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA8DYH-KFG3P0","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":169,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:00] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA8DYH-3VX365","method":"GET","path":"api/v1/categories","status":200,"duration_ms":174,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:05] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA8ICH-4RBE33","method":"GET","path":"api/v1/products","status":200,"duration_ms":227,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:18] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA8RV0-NH2Y08","method":"GET","path":"api/v1/products","status":200,"duration_ms":189,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:27] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA8ZEJ-DTENM4","method":"GET","path":"api/v1/products","status":200,"duration_ms":219,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:36] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA95XA-T8KP2H","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":193,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:37] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA95XA-5ZVK6Q","method":"GET","path":"api/v1/products","status":200,"duration_ms":224,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:51] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA9HRG-JXB9TP","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":148,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:31:52] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA9HRG-Y433TR","method":"GET","path":"api/v1/products","status":200,"duration_ms":277,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:32:09] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA9VKE-D5YZWD","method":"GET","path":"api/v1/outlets","status":200,"duration_ms":140,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:32:10] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYA9VKE-JVNW8E","method":"GET","path":"api/v1/products","status":200,"duration_ms":168,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:33:31] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYABMJ0-55V9N2","method":"GET","path":"api/v1/reports/marking/config","status":200,"duration_ms":190,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:33:32] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYABNHI-P1GTMF","method":"GET","path":"api/v1/reports/ledger","status":200,"duration_ms":233,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:33:44] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYABWN6-DKEEEQ","method":"GET","path":"api/v1/sales","status":200,"duration_ms":231,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:33:48] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYABZV6-6RQED5","method":"GET","path":"api/v1/reports/marking/config","status":200,"duration_ms":160,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:33:49] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYAC0PE-45JEC1","method":"GET","path":"api/v1/reports/ledger","status":200,"duration_ms":191,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:33:55] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYAC57C-0M4BGR","method":"GET","path":"api/v1/sales","status":200,"duration_ms":197,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:34:00] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYAC8ZS-D10KTB","method":"GET","path":"api/v1/categories","status":200,"duration_ms":190,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:34:08] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYACF4O-J1VNNA","method":"GET","path":"api/v1/products","status":200,"duration_ms":252,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:34:15] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYACKD8-N8VY36","method":"GET","path":"api/v1/products","status":200,"duration_ms":223,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:34:18] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYACMZC-EGQ6QX","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":199,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:34:19] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYACNWI-KRB851","method":"GET","path":"api/v1/taxes","status":200,"duration_ms":190,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:34:27] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYACU7G-AGA2BV","method":"GET","path":"api/v1/products","status":200,"duration_ms":246,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
[2026-03-20 02:34:28] production.INFO: api_request {"request_id":"MMYA839R-S4SZ6B-MMYACU7G-9VHXB7","method":"GET","path":"api/v1/discounts","status":200,"duration_ms":185,"user_id":"01kg6rt6kv68rnxs3mnjy7a6cf","ip":"127.0.0.1"} 
